country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","31-05-2025 21:00:00",24.7955,84.9994,OZONE,19,21,21
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","31-05-2025 21:00:00",11.654054,92.734055,PM10,1,415,55
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","31-05-2025 21:00:00",14.675886,77.593027,PM2.5,59,89,74
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","31-05-2025 21:00:00",26.11442,85.39813,SO2,2,6,4
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","31-05-2025 21:00:00",26.1403345,85.3650192,PM2.5,20,48,33
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","31-05-2025 21:00:00",26.1209,85.3647,PM2.5,27,65,44
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","31-05-2025 21:00:00",26.1209,85.3647,NO2,7,17,12
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","31-05-2025 21:00:00",26.1209,85.3647,OZONE,19,92,58
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","31-05-2025 21:00:00",25.586562,85.043586,SO2,4,9,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","31-05-2025 21:00:00",25.592539,85.227158,OZONE,36,108,93
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","31-05-2025 21:00:00",25.892357,86.590325,CO,7,47,30
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","31-05-2025 21:00:00",25.892357,86.590325,OZONE,6,66,22
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","31-05-2025 21:00:00",25.859655,85.77944,NO2,1,2,1
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","31-05-2025 21:00:00",25.859655,85.77944,SO2,9,33,20
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","31-05-2025 21:00:00",25.859655,85.77944,OZONE,3,15,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","31-05-2025 21:00:00",24.952822,84.002396,NO2,2,5,4
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","31-05-2025 21:00:00",24.952822,84.002396,OZONE,18,41,29
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","31-05-2025 21:00:00",26.2271665,84.3570427,PM2.5,NA,NA,NA
India,Bihar,Patna,"Muradpur, Patna - BSPCB","31-05-2025 21:00:00",25.619651,85.147382,PM10,115,413,192
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","31-05-2025 21:00:00",25.599486,85.113666,PM2.5,22,88,45
India,Bihar,Patna,"Samanpura, Patna - BSPCB","31-05-2025 21:00:00",25.596727,85.085624,NO2,39,51,45
India,Bihar,Patna,"Samanpura, Patna - BSPCB","31-05-2025 21:00:00",25.596727,85.085624,OZONE,45,98,79
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","31-05-2025 21:00:00",25.03280,85.41948,NO2,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","31-05-2025 21:00:00",25.03280,85.41948,CO,14,28,21
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","31-05-2025 21:00:00",22.368195,82.746431,OZONE,4,7,6
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","31-05-2025 21:00:00",22.348441,82.549611,NH3,2,3,3
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","31-05-2025 21:00:00",22.126650,83.483212,PM2.5,3,31,16
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","31-05-2025 21:00:00",22.1910172,83.5197009,NH3,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","31-05-2025 21:00:00",30.751462,76.762879,NO2,14,66,34
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","31-05-2025 21:00:00",30.719859,76.738637,PM10,74,241,129
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","31-05-2025 21:00:00",30.719859,76.738637,OZONE,3,146,105
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","31-05-2025 21:00:00",21.185571,81.343175,PM10,17,42,24
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","31-05-2025 21:00:00",27.308328,84.531742,SO2,6,7,7
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","31-05-2025 21:00:00",26.63086,84.90051,SO2,1,4,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB","31-05-2025 21:00:00",25.376776,86.471523,NH3,5,8,6
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","31-05-2025 21:00:00",26.11442,85.39813,NO2,4,12,6
